Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Age,Starts,xG,xAG,Penalty Goals
Alysson Edward Franco da Rocha dos Santos,Aston Villa,,MID,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,0,,0,,1,0,0,,0,,,,,20,0,0.00,0.00,
Joao Gomes,Aston Villa,,MID,1,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,4,,0,,0,1,0,,0,,,,,25,1,0.00,0.01,
Tammy Abraham,Aston Villa,,FWD,0,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,28,0,0.00,0.00,
Alejandro Garnacho Ferreyra,Aston Villa,,MID,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,22,0,0.00,0.00,
Nicolas Jackson,Aston Villa,,FWD,1,70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,0,,0,,,,,25,1,0.00,0.10,
Matteo Ruggeri,Aston Villa,,DEF,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,24,0,0.00,0.00,
Zion Suzuki,Aston Villa,,GKP,1,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,1,,0,,,,,24,1,0.00,0.00,
Aaron Wan-Bissaka,Aston Villa,,DEF,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,28,0,0.00,0.00,
Đorđe Petrović,Bournemouth,,GKP,3,270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,5,,0,,0,0,9,,0,,,,,26,3,0.00,0.00,
James Hill,Bournemouth,,DEF,3,270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,5,,0,,0,0,0,,0,,,,,24,3,0.00,0.76,
Adrien Truffert,Bournemouth,,DEF,3,270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,7,,,,,,,5,,0,,1,0,0,,0,,,,,24,3,0.01,0.13,
Adam Smith,Bournemouth,,DEF,3,270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,5,,0,,2,0,0,,0,,,,,35,3,0.01,0.06,
Rayan Vitor Simplício Rocha,Bournemouth,,MID,3,267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,4,,0,,0,0,0,,0,,,,,20,3,0.48,0.06,
Marcus Tavernier,Bournemouth,,MID,3,268,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,7,,,,,,,5,,0,,1,0,0,,0,,,,,27,3,1.50,0.34,
Alex Scott,Bournemouth,,MID,3,266,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,4,,0,,1,0,0,,0,,,,,23,3,0.32,0.30,
Justin Kluivert,Bournemouth,,MID,3,229,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,1,,0,,1,0,0,,0,,,,,27,3,0.77,0.06,
Lewis Cook,Bournemouth,,MID,2,157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,29,2,0.00,0.01,
Ben Gannon-Doak,Bournemouth,,MID,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,20,0,0.03,0.00,
Tyler Adams,Bournemouth,,MID,1,111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,4,,0,,0,0,0,,0,,,,,27,1,0.00,0.01,
David Brooks,Bournemouth,,MID,0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,2,,0,,0,0,0,,0,,,,,29,0,0.00,0.01,
Ryan Christie,Bournemouth,,MID,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,31,0,0.00,0.00,
Alex Tóth,Bournemouth,,MID,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,2,,0,,0,0,0,,0,,,,,20,0,0.00,0.00,
Francisco Evanilson de Lima Barbosa,Bournemouth,,FWD,3,244,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,2,,0,,1,0,0,,0,,,,,26,3,0.86,0.26,
Álvaro Rodríguez,Bournemouth,,FWD,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,0,,0,,,,,22,0,0.00,0.00,
António João Pereira de Albuquerque Tavares da Silva,Bournemouth,,DEF,3,270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,5,,0,,1,0,0,,0,,,,,22,3,0.27,0.04,
Daniel Jebbison,Bournemouth,,FWD,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,2,,0,,0,0,0,,0,,,,,23,0,0.10,0.00,
Caoimhín Kelleher,Brentford,,GKP,3,258,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,1,,0,,0,0,6,,0,,,,,27,3,0.00,0.01,
Nathan Collins,Brentford,,DEF,3,196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,0,,1,0,0,,0,,,,,25,3,0.51,0.05,
Keane Lewis-Potter,Brentford,,MID,3,255,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,1,,0,,0,0,0,,0,,,,,25,3,1.09,0.76,
Kristoffer Ajer,Brentford,,DEF,3,258,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,1,,0,,1,0,0,,0,,,,,28,3,0.11,0.03,
Michael Kayode,Brentford,,DEF,3,207,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,22,3,0.55,0.21,
Rico Henry,Brentford,,DEF,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,29,0,0.00,0.00,
Aaron Hickey,Brentford,,DEF,0,49,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,0,,0,,0,0,0,,0,,,,,24,0,0.00,0.02,
Jannik Schuster,Brentford,,DEF,0,61,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,20,0,0.00,0.01,
Kevin Schade,Brentford,,MID,3,255,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,1,,0,,0,0,0,,0,,,,,24,3,0.77,0.11,
Dango Ouattara,Brentford,,MID,2,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,0,,0,0,0,,0,,,,,24,2,0.07,0.38,
Mikkel Damsgaard,Brentford,,MID,2,160,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,0,,0,,0,0,0,,0,,,,,26,2,0.03,0.46,
Mathias Jensen,Brentford,,MID,1,66,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,30,1,0.08,0.34,
Vitaly Janelt,Brentford,,MID,3,258,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,11,,,,,,,1,,0,,3,0,0,,0,,,,,28,3,0.49,0.32,
Yehor Yarmoliuk,Brentford,,MID,0,77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,1,,0,,1,0,0,,0,,,,,22,0,0.04,0.02,
Jaidon Anthony,Brentford,,MID,1,116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,0,,0,,1,0,0,,0,,,,,26,1,0.17,0.42,
Igor Thiago Nascimento Rodrigues,Brentford,,FWD,3,250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,1,,0,,0,0,0,,0,,,,,25,3,2.04,0.10,
Callum Wilson,Brentford,,FWD,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,34,0,0.07,0.04,
Mamadou Sangaré,Brentford,,MID,3,210,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,1,,0,,1,0,0,,0,,,,,24,3,0.40,0.37,
Bart Verbruggen,Brighton,,GKP,3,265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,5,,0,,0,0,4,,0,,,,,24,3,0.00,0.20,
Ferdi Kadıoğlu,Brighton,,DEF,2,167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,5,,0,,0,0,0,,0,,,,,26,2,0.12,0.02,
Olivier Boscagli,Brighton,,DEF,3,265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,5,,0,,1,0,0,,0,,,,,28,3,0.05,0.57,
Maxim De Cuyper,Brighton,,DEF,3,243,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,5,,0,,1,0,0,,0,,,,,25,3,1.50,0.40,
Lewis Dunk,Brighton,,DEF,3,265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,5,,0,,1,0,0,,0,,,,,34,3,0.00,0.07,
João Pedro Loureiro da Costa,Brighton,,DEF,0,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,0,,0,,1,0,0,,0,,,,,26,0,0.12,0.00,
Jack Hinshelwood,Brighton,,MID,1,63,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,21,1,1.41,0.02,
Pascal Groß,Brighton,,MID,3,265,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,5,,0,,2,0,0,,0,,,,,35,3,0.15,0.41,
Georginio Rutter,Brighton,,FWD,1,90,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,0,,0,,0,0,0,,0,,,,,24,1,0.08,0.44,
Diego Gómez Amarilla,Brighton,,MID,3,260,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,8,,,,,,,5,,0,,0,0,0,,0,,,,,23,3,0.63,0.70,
Yasin Ayari,Brighton,,MID,2,148,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,1,,0,,1,0,0,,0,,,,,22,2,0.25,0.07,
Mats Wieffer,Brighton,,DEF,2,156,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,4,,0,,0,0,0,,0,,,,,26,2,0.12,0.13,
Zadok Yohanna,Brighton,,MID,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,19,0,0.00,0.03,
Charalampos Kostoulas,Brighton,,FWD,2,190,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,5,,0,,0,0,0,,0,,,,,19,2,0.79,0.04,
Luka Vušković,Brighton,,DEF,3,265,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,5,,0,,0,0,0,,0,,,,,19,3,0.31,0.06,
Promise David,Brighton,,FWD,0,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,25,0,0.31,0.00,
Ibrahim Osman,Brighton,,MID,0,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,21,0,0.00,0.06,
Malick Yalcouyé,Brighton,,MID,2,162,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,4,,0,,0,0,0,,0,,,,,20,2,0.74,0.25,
Emiliano Martínez Romero,Chelsea,,GKP,1,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,3,,0,,0,0,4,,0,,,,,34,1,0.00,0.01,
Morgan Rogers,Chelsea,,MID,2,171,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,5,,0,,0,0,0,,0,,,,,24,2,1.10,1.11,
Robert Lynch Sánchez,Chelsea,,GKP,1,90,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,2,,0,,0,0,4,,0,,,,,28,1,0.00,0.01,
Reece James,Chelsea,,DEF,1,112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,3,,0,,1,0,0,,0,,,,,26,1,0.10,0.07,
Malo Gusto,Chelsea,,DEF,2,165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,5,,0,,0,0,0,,0,,,,,23,2,0.00,0.04,
Wesley Fofana,Chelsea,,DEF,1,67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,2,,0,,1,0,0,,0,,,,,25,1,0.00,0.01,
Jorrel Hato,Chelsea,,DEF,2,154,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,5,,0,,0,0,0,,0,,,,,20,2,0.01,0.09,
Levi Samuels Colwill,Chelsea,,DEF,2,161,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3,,,,,,,4,,0,,1,0,0,,0,,,,,23,2,0.01,0.03,
Josh Acheampong,Chelsea,,DEF,1,112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,,,,,,,3,,0,,0,0,0,,0,,,,,20,1,0.00,0.01,
Cole Palmer,Chelsea,,MID,2,172,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,5,,0,,0,0,0,,0,,,,,24,2,0.94,0.32,
Pedro Lomba Neto,Chelsea,,MID,1,81,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,2,,0,,0,0,0,,0,,,,,26,1,0.44,0.40,
Estêvão Almeida de Oliveira Gonçalves,Chelsea,,MID,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,19,0,0.00,0.00,
Moisés Caicedo Corozo,Chelsea,,MID,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,24,0,0.00,0.00,
Roméo Lavia,Chelsea,,MID,2,131,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,4,,0,,1,0,0,,0,,,,,22,2,0.75,0.03,
Geovany Quenda,Chelsea,,MID,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,0,,0,0,0,,0,,,,,19,0,0.00,0.00,
João Pedro Junqueira de Jesus,Chelsea,,FWD,2,180,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,5,,1,,0,0,0,,0,,,,,24,2,1.86,0.10,
Maxence Lacroix,Chelsea,,DEF,2,180,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,6,,,,,,,5,,0,,0,0,0,,0,,,,,26,2,0.02,0.20,
Valentín Barco,Chelsea,,MID,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,0,,0,,,,,22,0,0.04,0.00,
Pep Chavarría,Chelsea,,DEF,0,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,28,0,0.00,0.02,
Ethan Pinnock,Coventry City,,DEF,1,99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,2,,0,,0,0,0,,0,,,,,33,1,0.11,0.00,
Frank Onyeka,Coventry City,,MID,2,152,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,4,,0,,0,0,0,,0,,,,,28,2,0.00,0.01,
Carl Rushworth,Coventry City,,GKP,3,267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,5,,0,,0,0,5,,0,,,,,25,3,0.00,0.01,
Bobby Thomas,Coventry City,,DEF,3,254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,4,,0,,0,0,0,,0,,,,,25,3,0.20,0.18,
Milan van Ewijk,Coventry City,,DEF,3,267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,5,,0,,1,0,0,,0,,,,,25,3,0.00,0.26,
Jay Dasilva,Coventry City,,DEF,3,264,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,5,,0,,0,0,0,,0,,,,,28,3,0.18,0.11,
Aurèle Amenda,Coventry City,,DEF,3,267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,5,,0,,1,0,0,,0,,,,,23,3,0.02,0.41,
Jack Rudoni,Coventry City,,MID,2,152,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,1,,0,,0,0,0,,0,,,,,25,2,0.47,0.18,
Matt Grimes,Coventry City,,MID,3,267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,5,,0,,0,0,0,,0,,,,,31,3,0.05,0.05,
Tatsuhiro Sakamoto,Coventry City,,MID,0,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,,,,,1,,0,,0,0,0,,0,,,,,29,0,0.02,0.02,
Ephron Mason-Clark,Coventry City,,MID,2,127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,0,,0,,,,,27,2,0.00,0.06,
Victor Torp,Coventry City,,MID,0,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,0,,0,,,,,27,0,0.00,0.12,
Loum Tchaouna,Coventry City,,MID,2,163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,3,,0,,0,0,0,,0,,,,,22,2,0.14,0.16,
Brandon Thomas-Asante,Coventry City,,FWD,1,117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,4,,0,,0,0,0,,0,,,,,27,1,0.00,0.02,
Ellis Simms,Coventry City,,FWD,1,85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,3,,0,,0,0,0,,0,,,,,25,1,0.28,0.01,
Taiwo Awoniyi,Coventry City,,FWD,2,180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,2,,0,,0,0,0,,0,,,,,29,2,1.16,0.03,
Caleb Yirenkyi,Coventry City,,MID,2,155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,3,,0,,1,0,0,,0,,,,,20,2,0.03,0.13,
Gustavo Hamer,Coventry City,,MID,0,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,1,,0,,0,0,0,,0,,,,,29,0,0.00,0.02,
Evann Guessand,Crystal Palace,,MID,0,54,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,,,,,1,,0,,0,0,0,,0,,,,,25,0,0.03,0.03,
Axel Disasi,Crystal Palace,,DEF,1,99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,4,,,,,,,3,,0,,0,0,0,,0,,,,,28,1,0.00,0.04,
Dean Henderson,Crystal Palace,,GKP,3,263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,8,,0,,0,0,11,,0,,,,,29,3,0.00,0.00,
Chris Richards,Crystal Palace,,DEF,3,263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,8,,0,,0,0,0,,0,,,,,26,3,0.08,0.00,
